Event timestamp,Event ID,Event type,Calling object,Calling object identity hashcode,Method return type,Method name,Method call depth,Method parameters number,Parameters types,Parameters values
1540853497675,1410882957,call,F : is performing operation 4(comma) available Semaphore permits : ,1663587386,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,2
1540853497675,1410882957,return,F : is performing operation 4(comma) available Semaphore permits : 2,1663587386,NA,NA,NA,NA,NA,NA
1540853497675,537964810,call,F : is performing operation 4(comma) available Semaphore permits : 2,1663587386,class java.lang.String,java.lang.StringBuilder.toString,3,0,NA,NA
1540853497675,537964810,return,F : is performing operation 4(comma) available Semaphore permits : 2,1663587386,NA,NA,NA,NA,NA,NA
1540853497675,1049423189,call,java.io.PrintStream@4e50df2e,1313922862,void,java.io.PrintStream.println,3,1,java.lang.String,F : is performing operation 4(comma) available Semaphore permits : 2
1540853497675,1049423189,return,NA,1313922862,NA,NA,NA,NA,NA,NA
1540853497675,1092429357,call,NA,NA,void,java.lang.Thread.sleep,3,1,java.lang.Long,1000
1540853496677,1136458584,return,NA,0,NA,NA,NA,NA,NA,NA
1540853497677,2127505324,call,NA,NA,void,java.lang.System.out,3,0,NA,NA
1540853497677,2127505324,return,java.io.PrintStream@4e50df2e,0,NA,NA,NA,NA,NA,NA
1540853497677,1695103701,call,Thread[Thread-3(comma)5(comma)main],854731685,void,SemaphoreTest$MyATMThread.name,3,0,NA,NA
1540853497677,1695103701,return,D,854731685,NA,NA,NA,NA,NA,NA
1540853497677,636345984,call,NA,NA,class java.lang.String,java.lang.String.valueOf,3,1,java.lang.String,D
1540853497677,636345984,return,D,0,NA,NA,NA,NA,NA,NA
1540853497677,19892062,call,NA,NA,class java.lang.String,java.lang.StringBuilder.<init>,3,1,java.lang.String,D
1540853497677,19892062,return,D,0,NA,NA,NA,NA,NA,NA
1540853497677,114958992,call,D,707362572,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String, : is performing operation 
1540853497677,114958992,return,D : is performing operation ,707362572,NA,NA,NA,NA,NA,NA
1540853497677,1635495191,call,D : is performing operation ,707362572,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.Integer,4
1540853497677,1635495191,return,D : is performing operation 4,707362572,NA,NA,NA,NA,NA,NA
1540853497677,479449873,call,D : is performing operation 4,707362572,class java.lang.StringBuilder,java.lang.StringBuilder.append,3,1,java.lang.String,(comma) available Semaphore permits : 
1540853497677,479449873,return,D : is performing operation 4(comma) available Semaphore permits : ,707362572,NA,NA,NA,NA,NA,NA
1540853497677,1258994865,call,NA,NA,class java.lang.StringBuilder,SemaphoreTest.semaphore,3,0,NA,NA
1540853497677,1258994865,return,java.util.concurrent.Semaphore@3feba861[Permits = 2],0,NA,NA,NA,NA,NA,NA
1540853497677,708475843,call,java.util.concurrent.Semaphore@3feba861[Permits = 2],1072408673,int,java.util.concurrent.Semaphore.availablePermits,3,0,NA,NA
